Control ID	WBS ID	도메인	레이어	항목명	Tier	적용 Stage	Enforcement	Waiver 허용
CTRL-1-1-1	1.1.1	Agent Governance	Agent Governance/Identity & Access Management(AuthN/AuthZ)	Agent Identity Policy (Unique Agent ID / Non-Human Identity)	HM	create, publish	required	X
CTRL-1-1-2	1.1.2	Agent Governance	Agent Governance/Identity & Access Management(AuthN/AuthZ)	인증 수단 정책 (SSO / API Key / OAuth)/Role 및 권한	HM	create, publish	required	X
CTRL-1-1-3	1.1.3	Agent Governance	Agent Governance/Identity & Access Management(AuthN/AuthZ)	Agent R&R 정의 (책임·권한 범위)	M	create, publish	required	O
CTRL-1-1-4	1.1.4	Agent Governance	Agent Governance/Identity & Access Management(AuthN/AuthZ)	Agent Credential Management (Token/Credential 발급·만료·폐기)	SM	create, publish	recommended	O
CTRL-1-1-5	1.1.5	Agent Governance	Agent Governance/Identity & Access Management(AuthN/AuthZ)	Agent Access Approval Process (정책 승인 워크플로우)	SM	create, publish	recommended	O
CTRL-1-2-1	1.2.1	Agent Governance	Agent Governance/Data Governance	데이터 활용 가이드라인	SM	create, publish	recommended	O
CTRL-1-2-2	1.2.2	Agent Governance	Agent Governance/Data Governance	데이터 분류 체계 (공개/내부/기밀/극비)	HM	create, publish	required	X
CTRL-1-2-3	1.2.3	Agent Governance	Agent Governance/Data Governance	민감 데이터 접근 정책 (레이블링 및 접근 통제)	HM	create, publish	required	X
CTRL-1-2-4	1.2.4	Agent Governance	Agent Governance/Data Governance	Agent별 접근 가능 데이터 범위 정의 (Data Boundary)	M	create, publish	required	O
CTRL-1-2-5	1.2.5	Agent Governance	Agent Governance/Data Governance	데이터 유출 방지 정책 (DLP)	M	create, publish	required	O
CTRL-1-3-1	1.3.1	Agent Governance	Agent Governance/Action Governance	Agent Action Control Policy (기본 행동 규칙)	HM	create, publish	required	X
CTRL-1-3-2	1.3.2	Agent Governance	Agent Governance/Action Governance	Tool & API Access Policy (Tool Whitelist)	HM	create, publish	required	X
CTRL-1-3-3	1.3.3	Agent Governance	Agent Governance/Action Governance	Autonomous Action Policy (Kill Switch / 자동 행동 제한)	M	create, publish	required	O
CTRL-1-3-4	1.3.4	Agent Governance	Agent Governance/Action Governance	System Interaction Policy (시스템/API 호출 규칙)	SM	create, publish	recommended	O
CTRL-1-3-5	1.3.5	Agent Governance	Agent Governance/Action Governance	Human-in-the-loop Approval Policy (위험 작업 승인 절차)	SM	create, publish	recommended	O
CTRL-1-4-1	1.4.1	Agent Governance	Agent Governance/Monitoring & Observability	Agent Logging Standard (Immutable Log)	M	create, publish	required	O
CTRL-1-4-2	1.4.2	Agent Governance	Agent Governance/Monitoring & Observability	Agent Monitoring Policy (장애 대응 / Fallback)	M	create, publish	required	O
CTRL-1-4-3	1.4.3	Agent Governance	Agent Governance/Monitoring & Observability	Agent Lifecycle Management (등록·변경·폐기 절차)	M	create, publish	required	O
CTRL-1-4-4	1.4.4	Agent Governance	Agent Governance/Monitoring & Observability	Governance Change Log Policy (정책 문서 버전 관리)	M	create, publish	required	O
CTRL-1-4-5	1.4.5	Agent Governance	Agent Governance/Monitoring & Observability	Agent Activity Audit Log (행동 감사 로그)	SM	create, publish	recommended	O
CTRL-1-5-1	1.5.1	Agent Governance	Agent Governance/Risk & Audit	Agent Risk Management Framework (리스크 분류 체계)	HM	create, publish	required	X
CTRL-1-5-2	1.5.2	Agent Governance	Agent Governance/Risk & Audit	Pre-deployment Risk Assessment (사전 리스크 평가)	M	create, publish	required	O
CTRL-1-5-3	1.5.3	Agent Governance	Agent Governance/Risk & Audit	Governance Audit Framework (정책 감사 체계)	MX	create, publish	target	O
CTRL-1-5-4	1.5.4	Agent Governance	Agent Governance/Risk & Audit	Responsible AI Principles (윤리 원칙 선언문)	SM	create, publish	recommended	O
CTRL-1-5-5	1.5.5	Agent Governance	Agent Governance/Risk & Audit	Agent Security Policy (보안 리스크 대응)	SM	create, publish	recommended	O
CTRL-2-1-1	2.1.1	AgentOps	AgentOps/AuthN/AuthZ Engine	Agent 고유 ID 기반 인증 처리 (Non-Human Identity)	HM	publish	required	X
CTRL-2-1-2	2.1.2	AgentOps	AgentOps/AuthN/AuthZ Engine	API Key 기반 인증 실행 및 자동 주입	HM	publish	required	X
CTRL-2-1-3	2.1.3	AgentOps	AgentOps/AuthN/AuthZ Engine	기본 역할(Role) 기반 접근 제어 실행 (RBAC)	HM	publish	required	X
CTRL-2-1-4	2.1.4	AgentOps	AgentOps/AuthN/AuthZ Engine	인증 실패 시 즉시 실행 차단	HM	publish	required	X
CTRL-2-1-5	2.1.5	AgentOps	AgentOps/AuthN/AuthZ Engine	세션 바인딩 및 접속지(IP/테넌트) 검증	HM	publish	required	X
CTRL-2-1-6	2.1.6	AgentOps	AgentOps/AuthN/AuthZ Engine	SSO / OAuth 인증 연동 및 계정 체계 통합	HM	publish	required	X
CTRL-2-1-7	2.1.7	AgentOps	AgentOps/AuthN/AuthZ Engine	Token 발급 / 만료 / 폐기(Revoke) 프로세스 실행	M	publish	required	O
CTRL-2-1-8	2.1.8	AgentOps	AgentOps/AuthN/AuthZ Engine	Agent별 권한 범위(Scope) 동적 적용 및 검증	M	publish	required	O
CTRL-2-1-9	2.1.9	AgentOps	AgentOps/AuthN/AuthZ Engine	Credential 로테이션 정책 및 노출 감지 시 자동 폐기	M	publish	required	O
CTRL-2-1-10	2.1.10	AgentOps	AgentOps/AuthN/AuthZ Engine	행동 기반 동적 권한 조정 (실행 맥락에 따라 권한 실시간 축소·확장)	MX	publish	target	O
CTRL-2-1-11	2.1.11	AgentOps	AgentOps/AuthN/AuthZ Engine	크로스 테넌트 인증 연동 (조직 간 Agent 협업 시 안전한 인증 위임)	MX	publish	target	O
CTRL-2-1-12	2.1.12	AgentOps	AgentOps/AuthN/AuthZ Engine	인증 이상 패턴 분석 및 자동 차단 (Zero Trust Architecture 실행)	MX	publish	target	O
CTRL-2-1-13	2.1.13	AgentOps	AgentOps/AuthN/AuthZ Engine	생체·다중 요소 인증(MFA) 연동을 통한 고위험 작업 신원 재검증	MX	publish	target	O
CTRL-2-1-14	2.1.14	AgentOps	AgentOps/AuthN/AuthZ Engine	세분화된 권한 제어 (Agent / Tool / API 단위 권한 분리)	SM	publish	recommended	O
CTRL-2-1-15	2.1.15	AgentOps	AgentOps/AuthN/AuthZ Engine	권한 이상 접근(Abnormal Access) 감지 및 즉시 자동 차단	SM	publish	recommended	O
CTRL-2-1-16	2.1.16	AgentOps	AgentOps/AuthN/AuthZ Engine	멀티테넌트 인증 격리 (테넌트별 독립적 인증 컨텍스트 운영)	SM	publish	recommended	O
CTRL-2-1-17	2.1.17	AgentOps	AgentOps/AuthN/AuthZ Engine	Credential 자동 갱신 및 유효기간 만료 관리	SM	publish	recommended	O
CTRL-2-1-18	2.1.18	AgentOps	AgentOps/AuthN/AuthZ Engine	동적 권한 할당 및 사용 후 즉시 회수 정책	SM	publish	recommended	O
CTRL-2-2-1	2.2.1	AgentOps	AgentOps/Policy Enforcement Engine	AI 리스크 분류 체계 기반 자동 정책 생성 및 즉시 적용	MX	publish	target	O
CTRL-2-2-2	2.2.2	AgentOps	AgentOps/Policy Enforcement Engine	정책 집행 효과 측정 및 최적화 시나리오 자동 제안	MX	publish	target	O
CTRL-2-2-3	2.2.3	AgentOps	AgentOps/Policy Enforcement Engine	크로스 Agent 간 정책 일관성 및 충돌 여부 자동 검증	MX	publish	target	O
CTRL-2-2-4	2.2.4	AgentOps	AgentOps/Policy Enforcement Engine	외부 법규/규정 변경 감지 시 정책 자동 갱신 및 대응 가이드 제안	MX	publish	target	O
CTRL-2-2-5	2.2.5	AgentOps	AgentOps/Policy Enforcement Engine	정책 위반 시나리오 자동 생성 및 레드팀(Red Teaming) 시뮬레이션	MX	publish	target	O
CTRL-2-2-6	2.2.6	AgentOps	AgentOps/Policy Enforcement Engine	Human-in-the-loop 승인 정책 실행	SM	publish	recommended	O
CTRL-2-2-7	2.2.7	AgentOps	AgentOps/Policy Enforcement Engine	Kill Switch 정책 실행 (비상 시 즉시 모든 Agent 실행 중단)	SM	publish	recommended	O
CTRL-2-2-8	2.2.8	AgentOps	AgentOps/Policy Enforcement Engine	정책 충돌 감지 및 우선순위 자동 조정 엔진 가동	SM	publish	recommended	O
CTRL-2-2-9	2.2.9	AgentOps	AgentOps/Policy Enforcement Engine	실시간 정책 업데이트 반영	SM	publish	recommended	O
CTRL-2-2-10	2.2.10	AgentOps	AgentOps/Policy Enforcement Engine	정책 우회 시도에 대한 AI 기반 시맨틱 탐지 및 차단	SM	publish	recommended	O
